Month,Price,Change
6/1/2005,"2,348.85",-
7/1/2005,"2,454.20",4.49%
8/1/2005,"2,700.01",10.02%
9/1/2005,"2,709.21",0.34%
10/1/2005,"2,608.22",-3.73%
11/1/2005,"2,516.77",-3.51%
12/1/2005,"2,576.49",2.37%
1/1/2006,"2,773.13",7.63%
2/1/2006,"2,646.56",-4.56%
3/1/2006,"2,709.89",2.39%
4/1/2006,"3,055.21",12.74%
5/1/2006,"3,118.70",2.08%
6/1/2006,"3,145.13",0.85%
7/1/2006,"3,365.75",7.01%
8/1/2006,"3,341.97",-0.71%
9/1/2006,"2,865.03",-14.27%
10/1/2006,"2,633.08",-8.10%
11/1/2006,"2,607.99",-0.95%
12/1/2006,"2,722.26",4.38%
1/1/2007,"2,373.05",-12.83%
2/1/2007,"2,541.99",7.12%
3/1/2007,"2,667.95",4.96%
4/1/2007,"2,742.35",2.79%
5/1/2007,"2,658.01",-3.08%
6/1/2007,"2,779.56",4.57%
7/1/2007,"2,974.64",7.02%
8/1/2007,"2,862.54",-3.77%
9/1/2007,"3,096.50",8.17%
10/1/2007,"3,238.90",4.60%
11/1/2007,"3,602.45",11.22%
12/1/2007,"3,530.67",-1.99%
1/1/2008,"3,570.71",1.13%
2/1/2008,"3,710.34",3.91%
3/1/2008,"4,109.92",10.77%
4/1/2008,"4,353.72",5.93%
5/1/2008,"5,165.85",18.65%
6/1/2008,"5,631.69",9.02%
7/1/2008,"5,689.98",1.04%
8/1/2008,"4,919.52",-13.54%
9/1/2008,"4,540.91",-7.70%
10/1/2008,"3,535.80",-22.13%
11/1/2008,"2,644.71",-25.20%
12/1/2008,"2,010.86",-23.97%
1/1/2009,"2,142.12",6.53%
2/1/2009,"2,059.46",-3.86%
3/1/2009,"2,391.75",16.13%
4/1/2009,"2,517.58",5.26%
5/1/2009,"2,822.25",12.10%
6/1/2009,"3,303.55",17.05%
7/1/2009,"3,137.00",-5.04%
8/1/2009,"3,461.09",10.33%
9/1/2009,"3,310.80",-4.34%
10/1/2009,"3,461.10",4.54%
11/1/2009,"3,611.43",4.34%
12/1/2009,"3,491.65",-3.32%
1/1/2010,"3,541.88",1.44%
2/1/2010,"3,463.32",-2.22%
3/1/2010,"3,607.99",4.18%
4/1/2010,"3,745.92",3.82%
5/1/2010,"3,461.17",-7.60%
6/1/2010,"3,479.77",0.54%
7/1/2010,"3,495.72",0.46%
8/1/2010,"3,531.14",1.01%
9/1/2010,"3,504.32",-0.76%
10/1/2010,"3,629.80",3.58%
11/1/2010,"3,793.46",4.51%
12/1/2010,"4,065.66",7.18%
1/1/2011,"4,206.66",3.47%
2/1/2011,"4,450.50",5.80%
3/1/2011,"4,888.11",9.83%
4/1/2011,"5,159.40",5.55%
5/1/2011,"4,851.80",-5.96%
6/1/2011,"4,747.57",-2.15%
7/1/2011,"4,793.30",0.96%
8/1/2011,"4,550.04",-5.08%
9/1/2011,"4,811.93",5.76%
10/1/2011,"4,916.61",2.18%
11/1/2011,"5,343.29",8.68%
12/1/2011,"5,486.72",2.68%
1/1/2012,"5,484.92",-0.03%
2/1/2012,"5,540.26",1.01%
3/1/2012,"5,927.55",6.99%
4/1/2012,"5,888.49",-0.66%
5/1/2012,"5,655.94",-3.95%
6/1/2012,"5,083.60",-10.12%
7/1/2012,"5,372.19",5.68%
8/1/2012,"5,848.75",8.87%
9/1/2012,"5,798.48",-0.86%
10/1/2012,"5,476.43",-5.55%
11/1/2012,"5,536.01",1.09%
12/1/2012,"5,526.62",-0.17%
1/1/2013,"5,708.32",3.29%
2/1/2013,"5,784.94",1.34%
3/1/2013,"5,575.84",-3.61%
4/1/2013,"5,375.04",-3.60%
5/1/2013,"5,468.66",1.74%
6/1/2013,"5,817.69",6.38%
7/1/2013,"6,292.38",8.16%
8/1/2013,"6,836.67",8.65%
9/1/2013,"6,926.83",1.32%
10/1/2013,"6,497.77",-6.19%
11/1/2013,"6,435.78",-0.95%
12/1/2013,"6,534.28",1.53%
1/1/2014,"6,344.00",-2.91%
2/1/2014,"6,529.28",2.92%
3/1/2014,"6,343.00",-2.85%
4/1/2014,"6,329.60",-0.21%
5/1/2014,"6,273.13",-0.89%
6/1/2014,"6,471.05",3.16%
7/1/2014,"6,320.51",-2.33%
8/1/2014,"6,092.56",-3.61%
9/1/2014,"5,835.69",-4.22%
10/1/2014,"5,280.84",-9.51%
11/1/2014,"4,748.53",-10.08%
12/1/2014,"3,806.55",-19.84%
1/1/2015,"2,927.20",-23.10%
2/1/2015,"3,398.51",16.10%
3/1/2015,"3,299.23",-2.92%
4/1/2015,"3,611.03",9.45%
5/1/2015,"3,988.78",10.46%
6/1/2015,"3,915.30",-1.84%
7/1/2015,"3,458.51",-11.67%
8/1/2015,"2,973.16",-14.03%
9/1/2015,"3,064.43",3.07%
10/1/2015,"3,055.95",-0.28%
11/1/2015,"2,847.43",-6.82%
12/1/2015,"2,435.40",-14.47%
1/1/2016,"2,004.00",-17.71%
2/1/2016,"2,117.58",5.67%
3/1/2016,"2,503.95",18.25%
