Month,Crude Oil (petroleum) Price (Indian Rupee per Barrel),Diesel Price (Indian Rupee per Gallon)
6/1/2006,"3,145.13",96.3
7/1/2006,"3,365.75",102.99
8/1/2006,"3,341.97",104.57
9/1/2006,"2,865.03",83.48
10/1/2006,"2,633.08",81.57
11/1/2006,"2,607.99",81.24
12/1/2006,"2,722.26",81.82
1/1/2007,"2,373.05",72.27
2/1/2007,"2,541.99",77.68
3/1/2007,"2,667.95",83.25
4/1/2007,"2,742.35",86.54
5/1/2007,"2,658.01",83.38
6/1/2007,"2,779.56",86.42
7/1/2007,"2,974.64",86.73
8/1/2007,"2,862.54",85.96
9/1/2007,"3,096.50",93.59
10/1/2007,"3,238.90",95.5
11/1/2007,"3,602.45",106.49
12/1/2007,"3,530.67",103.77
1/1/2008,"3,570.71",101.98
2/1/2008,"3,710.34",110.21
3/1/2008,"4,109.92",131.28
4/1/2008,"4,353.72",137.83
5/1/2008,"5,165.85",160.96
6/1/2008,"5,631.69",166.44
7/1/2008,"5,689.98",164.71
8/1/2008,"4,919.52",140.54
9/1/2008,"4,540.91",138.56
10/1/2008,"3,535.80",116.6
11/1/2008,"2,644.71",94.23
12/1/2008,"2,010.86",69.85
1/1/2009,"2,142.12",73.06
2/1/2009,"2,059.46",64.28
3/1/2009,"2,391.75",68.6
4/1/2009,"2,517.58",72.55
5/1/2009,"2,822.25",73.77
6/1/2009,"3,303.55",86.95
7/1/2009,"3,137.00",83.53
8/1/2009,"3,461.09",93.11
9/1/2009,"3,310.80",86.95
10/1/2009,"3,461.10",92.6
11/1/2009,"3,611.43",93.04
12/1/2009,"3,491.65",92.33
1/1/2010,"3,541.88",94.88
2/1/2010,"3,463.32",94.27
3/1/2010,"3,607.99",98.23
4/1/2010,"3,745.92",101.64
5/1/2010,"3,461.17",97.77
6/1/2010,"3,479.77",98.16
7/1/2010,"3,495.72",96.84
8/1/2010,"3,531.14",98.81
9/1/2010,"3,504.32",100.13
10/1/2010,"3,629.80",102.2
11/1/2010,"3,793.46",106.67
12/1/2010,"4,065.66",112.92
1/1/2011,"4,206.66",119.91
2/1/2011,"4,450.50",129.09
3/1/2011,"4,888.11",140.86
4/1/2011,"5,159.40",145.19
5/1/2011,"4,851.80",136.26
6/1/2011,"4,747.57",136.98
7/1/2011,"4,793.30",140.8
8/1/2011,"4,550.04",136.29
9/1/2011,"4,811.93",142.23
10/1/2011,"4,916.61",148.11
11/1/2011,"5,343.29",156.89
