Date,Cities,Diesel (Rs./Litre)
7/15/2020,Delhi,81.18
7/14/2020,Delhi,81.05
7/13/2020,Delhi,81.05
7/12/2020,Delhi,80.94
7/11/2020,Delhi,80.78
7/10/2020,Delhi,80.78
7/9/2020,Delhi,80.78
7/8/2020,Delhi,80.78
7/7/2020,Delhi,80.78
7/6/2020,Delhi,80.53
7/5/2020,Delhi,80.53
7/4/2020,Delhi,80.53
7/3/2020,Delhi,80.53
7/2/2020,Delhi,80.53
7/1/2020,Delhi,80.53
6/30/2020,Delhi,80.53
6/29/2020,Delhi,80.53
6/28/2020,Delhi,80.4
6/27/2020,Delhi,80.4
6/26/2020,Delhi,80.19
6/25/2020,Delhi,80.02
6/24/2020,Delhi,79.88
6/23/2020,Delhi,79.4
6/22/2020,Delhi,78.85
6/21/2020,Delhi,78.27
6/20/2020,Delhi,77.67
6/19/2020,Delhi,77.06
6/18/2020,Delhi,76.43
6/17/2020,Delhi,75.79
6/16/2020,Delhi,75.19
6/15/2020,Delhi,74.62
6/14/2020,Delhi,74.03
6/13/2020,Delhi,73.39
6/12/2020,Delhi,72.81
6/11/2020,Delhi,72.22
6/10/2020,Delhi,71.62
6/9/2020,Delhi,71.17
6/8/2020,Delhi,70.59
6/7/2020,Delhi,69.99
6/6/2020,Delhi,69.39
6/5/2020,Delhi,69.39
6/4/2020,Delhi,69.39
6/3/2020,Delhi,69.39
6/2/2020,Delhi,69.39
6/1/2020,Delhi,69.39
5/31/2020,Delhi,69.39
5/30/2020,Delhi,69.39
5/29/2020,Delhi,69.39
5/28/2020,Delhi,69.39
5/27/2020,Delhi,69.39
5/26/2020,Delhi,69.39
5/25/2020,Delhi,69.39
5/24/2020,Delhi,69.39
5/23/2020,Delhi,69.39
5/22/2020,Delhi,69.39
5/21/2020,Delhi,69.39
5/20/2020,Delhi,69.39
5/19/2020,Delhi,69.39
5/18/2020,Delhi,69.39
5/17/2020,Delhi,69.39
5/16/2020,Delhi,69.39
5/15/2020,Delhi,69.39
5/14/2020,Delhi,69.39
5/13/2020,Delhi,69.39
5/12/2020,Delhi,69.39
5/11/2020,Delhi,69.39
5/10/2020,Delhi,69.39
5/9/2020,Delhi,69.39
5/8/2020,Delhi,69.39
5/7/2020,Delhi,69.39
5/6/2020,Delhi,69.39
5/5/2020,Delhi,69.39
5/4/2020,Delhi,62.29
5/3/2020,Delhi,62.29
5/2/2020,Delhi,62.29
5/1/2020,Delhi,62.29
4/30/2020,Delhi,62.29
4/29/2020,Delhi,62.29
4/28/2020,Delhi,62.29
4/27/2020,Delhi,62.29
4/26/2020,Delhi,62.29
4/25/2020,Delhi,62.29
4/24/2020,Delhi,62.29
4/23/2020,Delhi,62.29
4/22/2020,Delhi,62.29
4/21/2020,Delhi,62.29
4/20/2020,Delhi,62.29
4/19/2020,Delhi,62.29
4/18/2020,Delhi,62.29
4/17/2020,Delhi,62.29
4/16/2020,Delhi,62.29
4/15/2020,Delhi,62.29
4/14/2020,Delhi,62.29
4/13/2020,Delhi,62.29
4/12/2020,Delhi,62.29
4/11/2020,Delhi,62.29
4/10/2020,Delhi,62.29
4/9/2020,Delhi,62.29
4/8/2020,Delhi,62.29
4/7/2020,Delhi,62.29
4/6/2020,Delhi,62.29
4/5/2020,Delhi,62.29
4/4/2020,Delhi,62.29
4/3/2020,Delhi,62.29
4/2/2020,Delhi,62.29
4/1/2020,Delhi,62.29
3/31/2020,Delhi,62.29
3/30/2020,Delhi,62.29
3/29/2020,Delhi,62.29
3/28/2020,Delhi,62.29
3/27/2020,Delhi,62.29
3/26/2020,Delhi,62.29
3/25/2020,Delhi,62.29
3/24/2020,Delhi,62.29
3/23/2020,Delhi,62.29
3/22/2020,Delhi,62.29
3/21/2020,Delhi,62.29
3/20/2020,Delhi,62.29
3/19/2020,Delhi,62.29
3/18/2020,Delhi,62.29
3/17/2020,Delhi,62.29
3/16/2020,Delhi,62.29
3/15/2020,Delhi,62.44
3/14/2020,Delhi,62.58
3/13/2020,Delhi,62.74
3/12/2020,Delhi,62.89
3/11/2020,Delhi,63.01
3/10/2020,Delhi,63.01
3/9/2020,Delhi,63.26
3/8/2020,Delhi,63.51
3/7/2020,Delhi,63.69
3/6/2020,Delhi,63.81
3/5/2020,Delhi,63.94
3/4/2020,Delhi,64.03
3/3/2020,Delhi,64.03
3/2/2020,Delhi,64.1
3/1/2020,Delhi,64.3
2/29/2020,Delhi,64.51
2/28/2020,Delhi,64.6
2/27/2020,Delhi,64.65
2/26/2020,Delhi,64.7
2/25/2020,Delhi,64.7
2/24/2020,Delhi,64.7
2/23/2020,Delhi,64.7
2/22/2020,Delhi,64.65
2/21/2020,Delhi,64.65
2/20/2020,Delhi,64.65
2/19/2020,Delhi,64.65
2/18/2020,Delhi,64.65
2/17/2020,Delhi,64.7
2/16/2020,Delhi,64.7
2/15/2020,Delhi,64.77
2/14/2020,Delhi,64.77
2/13/2020,Delhi,64.82
2/12/2020,Delhi,64.87
2/11/2020,Delhi,64.87
2/10/2020,Delhi,65.07
2/9/2020,Delhi,65.23
2/8/2020,Delhi,65.43
2/7/2020,Delhi,65.68
2/6/2020,Delhi,65.92
2/5/2020,Delhi,66.04
2/4/2020,Delhi,66.04
2/3/2020,Delhi,66.09
2/2/2020,Delhi,66.14
2/1/2020,Delhi,66.22
1/31/2020,Delhi,66.28
1/30/2020,Delhi,66.36
1/29/2020,Delhi,66.58
1/28/2020,Delhi,66.58
1/27/2020,Delhi,66.71
1/26/2020,Delhi,66.96
1/25/2020,Delhi,67.31
1/24/2020,Delhi,67.61
1/23/2020,Delhi,67.86
1/22/2020,Delhi,68.05
1/21/2020,Delhi,68.05
1/20/2020,Delhi,68.26
1/19/2020,Delhi,68.45
1/18/2020,Delhi,68.61
1/17/2020,Delhi,68.77
1/16/2020,Delhi,68.92
1/15/2020,Delhi,69.06
1/14/2020,Delhi,69.06
1/13/2020,Delhi,69.06
1/12/2020,Delhi,69.11
1/11/2020,Delhi,69.17
1/10/2020,Delhi,69.05
1/9/2020,Delhi,68.94
1/8/2020,Delhi,68.79
1/7/2020,Delhi,68.79
1/6/2020,Delhi,68.68
1/5/2020,Delhi,68.51
1/4/2020,Delhi,68.4
1/3/2020,Delhi,68.25
1/2/2020,Delhi,68.1
1/1/2020,Delhi,67.96
12/31/2019,Delhi,67.96
12/30/2019,Delhi,67.78
12/29/2019,Delhi,67.6
12/28/2019,Delhi,67.41
12/27/2019,Delhi,67.24
12/26/2019,Delhi,67.09
12/25/2019,Delhi,66.99
12/24/2019,Delhi,66.99
12/23/2019,Delhi,66.94
12/22/2019,Delhi,66.74
12/21/2019,Delhi,66.54
12/20/2019,Delhi,66.34
12/19/2019,Delhi,66.19
12/18/2019,Delhi,66.04
12/17/2019,Delhi,66.04
12/16/2019,Delhi,66.04
12/15/2019,Delhi,66.04
12/14/2019,Delhi,66.04
12/13/2019,Delhi,66.04
12/12/2019,Delhi,66.04
12/11/2019,Delhi,66.04
12/10/2019,Delhi,66.04
12/9/2019,Delhi,66.04
