Date,Cities,Petrol
7/15/2020,Delhi,80.43
7/14/2020,Delhi,80.43
7/13/2020,Delhi,80.43
7/12/2020,Delhi,80.43
7/11/2020,Delhi,80.43
7/10/2020,Delhi,80.43
7/9/2020,Delhi,80.43
7/8/2020,Delhi,80.43
7/7/2020,Delhi,80.43
7/6/2020,Delhi,80.43
7/5/2020,Delhi,80.43
7/4/2020,Delhi,80.43
7/3/2020,Delhi,80.43
7/2/2020,Delhi,80.43
7/1/2020,Delhi,80.43
6/30/2020,Delhi,80.43
6/29/2020,Delhi,80.43
6/28/2020,Delhi,80.38
6/27/2020,Delhi,80.38
6/26/2020,Delhi,80.13
6/25/2020,Delhi,79.92
6/24/2020,Delhi,79.76
6/23/2020,Delhi,79.76
6/22/2020,Delhi,79.56
6/21/2020,Delhi,79.23
6/20/2020,Delhi,78.88
6/19/2020,Delhi,78.37
6/18/2020,Delhi,77.81
6/17/2020,Delhi,77.28
6/16/2020,Delhi,76.73
6/15/2020,Delhi,76.26
6/14/2020,Delhi,75.78
6/13/2020,Delhi,75.16
6/12/2020,Delhi,74.57
6/11/2020,Delhi,74
6/10/2020,Delhi,73.4
6/9/2020,Delhi,73
6/8/2020,Delhi,72.46
6/7/2020,Delhi,71.86
6/6/2020,Delhi,71.26
6/5/2020,Delhi,71.26
6/4/2020,Delhi,71.26
6/3/2020,Delhi,71.26
6/2/2020,Delhi,71.26
6/1/2020,Delhi,71.26
5/31/2020,Delhi,71.26
5/30/2020,Delhi,71.26
5/29/2020,Delhi,71.26
5/28/2020,Delhi,71.26
5/27/2020,Delhi,71.26
5/26/2020,Delhi,71.26
5/25/2020,Delhi,71.26
5/24/2020,Delhi,71.26
5/23/2020,Delhi,71.26
5/22/2020,Delhi,71.26
5/21/2020,Delhi,71.26
5/20/2020,Delhi,71.26
5/19/2020,Delhi,71.26
5/18/2020,Delhi,71.26
5/17/2020,Delhi,71.26
5/16/2020,Delhi,71.26
5/15/2020,Delhi,71.26
5/14/2020,Delhi,71.26
5/13/2020,Delhi,71.26
5/12/2020,Delhi,71.26
5/11/2020,Delhi,71.26
5/10/2020,Delhi,71.26
5/9/2020,Delhi,71.26
5/8/2020,Delhi,71.26
5/7/2020,Delhi,71.26
5/6/2020,Delhi,71.26
5/5/2020,Delhi,71.26
5/4/2020,Delhi,69.59
5/3/2020,Delhi,69.59
5/2/2020,Delhi,69.59
5/1/2020,Delhi,69.59
4/30/2020,Delhi,69.59
4/29/2020,Delhi,69.59
4/28/2020,Delhi,69.59
4/27/2020,Delhi,69.59
4/26/2020,Delhi,69.59
4/23/2020,Delhi,69.59
4/22/2020,Delhi,69.59
4/21/2020,Delhi,69.59
4/20/2020,Delhi,69.59
4/19/2020,Delhi,69.59
4/18/2020,Delhi,69.59
4/17/2020,Delhi,69.59
4/16/2020,Delhi,69.59
4/15/2020,Delhi,69.59
4/14/2020,Delhi,69.59
4/13/2020,Delhi,69.59
4/12/2020,Delhi,69.59
4/11/2020,Delhi,69.59
4/10/2020,Delhi,69.59
4/9/2020,Delhi,69.59
4/8/2020,Delhi,69.59
4/7/2020,Delhi,69.59
4/6/2020,Delhi,69.59
4/5/2020,Delhi,69.59
4/4/2020,Delhi,69.59
4/3/2020,Delhi,69.59
4/2/2020,Delhi,69.59
4/1/2020,Delhi,69.59
3/31/2020,Delhi,69.59
3/30/2020,Delhi,69.59
3/29/2020,Delhi,69.59
3/28/2020,Delhi,69.59
3/27/2020,Delhi,69.59
3/26/2020,Delhi,69.59
3/25/2020,Delhi,69.59
3/24/2020,Delhi,69.59
3/23/2020,Delhi,69.59
3/22/2020,Delhi,69.59
3/21/2020,Delhi,69.59
3/20/2020,Delhi,69.59
3/19/2020,Delhi,69.59
3/18/2020,Delhi,69.59
3/17/2020,Delhi,69.59
3/16/2020,Delhi,69.59
3/15/2020,Delhi,69.75
3/14/2020,Delhi,69.87
3/13/2020,Delhi,70
3/12/2020,Delhi,70.14
3/11/2020,Delhi,70.29
3/10/2020,Delhi,70.29
3/9/2020,Delhi,70.59
3/8/2020,Delhi,70.83
